"","id","partner","type_trial","promise","dec_partner","prom_keys","prom_keys_rt","decision","decision_rt","prom_percent","decision_gain","response"
"1","1","Confederate","Promise","Promise","Trust","Mostly",2.85298609734,"Pay back",6.6363260746,66.66,5,1
"2","1","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",5.25301814079,NA,10,0
"3","1","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",3.15287804604,NA,5,1
"4","1","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",2.652821064,NA,10,0
"5","1","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",1.82026100159,NA,5,1
"6","1","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.15264606476,NA,5,1
"7","1","Friend","Promise","Promise","Trust","Mostly",5.76971292496,"Not to pay back",3.31951594353,66.66,10,0
"8","1","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"9","1","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",4.3529047966,NA,5,1
"10","1","Friend","Promise","Promise","Trust","Sometimes",4.96962690353,"Pay back",5.06642603874,33.33,5,1
"11","1","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"12","1","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",5.05299210548,NA,5,1
"13","1","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"14","1","Friend","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.3528649807,NA,10,0
"15","1","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",1.86936688423,NA,10,0
"16","1","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",2.66970610619,NA,10,0
"17","1","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"18","1","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.13401913643,NA,5,1
"19","1","Computer","Promise","Promise","No trust","Always",5.48608803749,NA,NA,100,NA,NA
"20","1","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.41950392723,NA,5,1
"21","1","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",2.33405184746,NA,5,1
"22","1","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",1.50263905525,NA,5,1
"23","1","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"24","1","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.70077800751,NA,10,0
"25","2","Confederate","Promise","Promise","Trust","Always",3.06949210167,"Pay back",4.98592305183,100,5,1
"26","2","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",4.28609204292,NA,5,1
"27","2","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",3.46738409996,NA,5,1
"28","2","Computer","No Promise","No promise","Trust",NA,NA,"Pay back",3.35276985168,NA,5,1
"29","2","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",3.53656220436,NA,5,1
"30","2","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",2.90268516541,NA,5,1
"31","2","Friend","Promise","Promise","Trust","Always",5.0362329483,"Pay back",4.86948418617,100,5,1
"32","2","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"33","2","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",3.71807813644,NA,5,1
"34","2","Friend","Promise","Promise","Trust","Always",3.33603906631,"Pay back",4.00074195862,100,5,1
"35","2","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"36","2","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.05276489258,NA,5,1
"37","2","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"38","2","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.13455104828,NA,5,1
"39","2","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",2.88442206383,NA,5,1
"40","2","Confederate","No Promise","No promise","Trust",NA,NA,"Pay back",3.76745414734,NA,5,1
"41","2","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"42","2","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.68472886086,NA,5,1
"43","2","Computer","Promise","Promise","No trust","Always",3.33451318741,NA,NA,100,NA,NA
"44","2","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",4.00111484528,NA,5,1
"45","2","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",2.46880412102,NA,5,1
"46","2","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",3.18434381485,NA,5,1
"47","2","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"48","2","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",3.25225710869,NA,5,1
"49","3","Confederate","Promise","Promise","Trust","Sometimes",7.62033081055,"Pay back",3.40366101265,33.33,5,1
"50","3","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",5.63425898552,NA,10,0
"51","3","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",2.13694405556,NA,5,1
"52","3","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",4.2869720459,NA,10,0
"53","3","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.75357699394,NA,10,0
"54","3","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.38689494133,NA,5,1
"55","3","Friend","Promise","Promise","Trust","Sometimes",3.62056612968,"Pay back",3.45357108116,33.33,5,1
"56","3","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"57","3","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.38685297966,NA,10,0
"58","3","Friend","Promise","Promise","Trust","Sometimes",1.72017288208,"Pay back",4.15367913246,33.33,5,1
"59","3","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"60","3","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.38716101646,NA,5,1
"61","3","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"62","3","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.2362549305,NA,5,1
"63","3","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.73701810837,NA,10,0
"64","3","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",5.35379981995,NA,10,0
"65","3","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"66","3","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",5.67053794861,NA,5,1
"67","3","Computer","Promise","Promise","No trust","Sometimes",2.37023591995,NA,NA,33.33,NA,NA
"68","3","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.68685913086,NA,5,1
"69","3","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.72049593925,NA,10,0
"70","3","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",2.27026796341,NA,5,1
"71","3","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"72","3","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",5.15386009216,NA,10,0
"73","4","Confederate","Promise","Promise","Trust","Mostly",5.86956501007,"Pay back",5.11940908432,66.66,5,1
"74","4","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",4.18618106842,NA,10,0
"75","4","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",2.1194999218,NA,5,1
"76","4","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",3.68384599686,NA,10,0
"77","4","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",1.90069007874,NA,5,1
"78","4","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.56944513321,NA,5,1
"79","4","Friend","Promise","Promise","Trust","Mostly",4.10264587402,"Pay back",1.91925001144,66.66,5,1
